t,share_N,share_E,share_F,run_id,source
98,0.16,0.84,0.0,1,theory_closure
99,0.16,0.84,0.0,1,theory_closure
100,0.16,0.84,0.0,1,theory_closure
0,0.0,1.0,0.0,2,simulation
1,0.0,1.0,0.0,2,simulation
2,0.01,0.99,0.0,2,simulation
3,0.01,0.99,0.0,2,simulation
4,0.01,0.99,0.0,2,simulation
0,0.0,1.0,0.0,2,theory_closure
1,0.075,0.925,0.0,2,theory_closure
2,0.075,0.925,0.0,2,theory_closure
3,0.075,0.925,0.0,2,theory_closure
4,0.075,0.925,0.0,2,theory_closure
5,0.075,0.925,0.0,2,theory_closure
6,0.075,0.925,0.0,2,theory_closure
7,0.075,0.925,0.0,2,theory_closure
8,0.075,0.925,0.0,2,theory_closure
9,0.075,0.925,0.0,2,theory_closure
10,0.075,0.925,0.0,2,theory_closure
11,0.075,0.925,0.0,2,theory_closure
12,0.075,0.925,0.0,2,theory_closure
13,0.075,0.925,0.0,2,theory_closure
14,0.075,0.925,0.0,2,theory_closure
15,0.075,0.925,0.0,2,theory_closure
16,0.075,0.925,0.0,2,theory_closure
17,0.075,0.925,0.0,2,theory_closure
18,0.075,0.925,0.0,2,theory_closure
19,0.075,0.925,0.0,2,theory_closure
20,0.075,0.925,0.0,2,theory_closure
21,0.075,0.925,0.0,2,theory_closure
22,0.075,0.925,0.0,2,theory_closure
23,0.075,0.925,0.0,2,theory_closure
24,0.075,0.925,0.0,2,theory_closure
25,0.075,0.925,0.0,2,theory_closure
26,0.075,0.925,0.0,2,theory_closure
27,0.075,0.925,0.0,2,theory_closure
28,0.075,0.925,0.0,2,theory_closure
29,0.075,0.925,0.0,2,theory_closure
30,0.075,0.925,0.0,2,theory_closure
31,0.075,0.925,0.0,2,theory_closure
32,0.075,0.925,0.0,2,theory_closure
33,0.075,0.925,0.0,2,theory_closure
34,0.075,0.925,0.0,2,theory_closure
35,0.075,0.925,0.0,2,theory_closure
36,0.075,0.925,0.0,2,theory_closure
37,0.075,0.925,0.0,2,theory_closure
38,0.075,0.925,0.0,2,theory_closure
39,0.075,0.925,0.0,2,theory_closure
40,0.075,0.925,0.0,2,theory_closure
41,0.075,0.925,0.0,2,theory_closure
42,0.075,0.925,0.0,2,theory_closure
43,0.075,0.925,0.0,2,theory_closure
44,0.075,0.925,0.0,2,theory_closure
45,0.075,0.925,0.0,2,theory_closure
46,0.075,0.925,0.0,2,theory_closure
47,0.075,0.925,0.0,2,theory_closure
48,0.075,0.925,0.0,2,theory_closure
49,0.075,0.925,0.0,2,theory_closure
50,0.075,0.925,0.0,2,theory_closure
51,0.075,0.925,0.0,2,theory_closure
52,0.075,0.925,0.0,2,theory_closure
53,0.075,0.925,0.0,2,theory_closure
54,0.075,0.925,0.0,2,theory_closure
55,0.075,0.925,0.0,2,theory_closure
56,0.075,0.925,0.0,2,theory_closure
57,0.075,0.925,0.0,2,theory_closure
58,0.075,0.925,0.0,2,theory_closure
59,0.075,0.925,0.0,2,theory_closure
60,0.075,0.925,0.0,2,theory_closure
61,0.075,0.925,0.0,2,theory_closure
62,0.075,0.925,0.0,2,theory_closure
63,0.075,0.925,0.0,2,theory_closure
64,0.075,0.925,0.0,2,theory_closure
65,0.075,0.925,0.0,2,theory_closure
