agent_id,t_cross,S_minus_i_cross,theoretical_threshold,state_at_cross,upgrade_margin_at_cross,delta_C_at_cross,delta_P,v_i,d_i,run_id
31,2,13.200199632543281,8.948743718592965,1,0.00647979676384014,0.0008781408477942352,0.007357937611634468,1.7894120879768523,0.8950087434557017,20
32,2,13.200199632543281,9.23819095477387,1,0.004584183227041683,0.0007334668744497394,0.005317650101491183,1.8589952143381014,0.685152123526843,20
36,2,13.200199632543281,8.418090452261307,1,0.0020239258929823922,0.00020392181372143306,0.0022278477067039838,1.6417066721431066,0.19151954227911785,20
39,2,13.200199632543281,8.683417085427134,1,0.009046427406965485,0.0010558776864144491,0.01010230509337999,1.6954540489998882,1.2243912916391644,20
42,2,13.200199632543281,9.117587939698492,1,0.003583976218116458,0.0005348692536643289,0.004118845471781005,1.8302697309000115,0.4837409678263892,20
43,2,13.200199632543281,8.852261306532663,1,0.0064455270471270865,0.0008270795531449761,0.007272606600271971,1.7765392880212125,0.8378989187447416,20
44,2,13.200199632543281,9.407035175879397,1,0.004823431523510724,0.0008517325060389821,0.005675164029549726,1.9179731730049252,0.7904551801133014,20
52,2,13.200199632543281,8.442211055276381,1,0.004157594848560597,0.00042450246491416294,0.004582097313475022,1.6417257293135064,0.4216721565595181,20
54,2,13.200199632543281,8.61105527638191,1,0.003076417875827353,0.0003448825104505076,0.0034213003862775867,1.6847459773230946,0.3262042111040943,20
57,2,13.200199632543281,9.33467336683417,1,0.0015866313262533627,0.00026853036647015463,0.0018551616927234686,1.8874344296142684,0.22095697352461344,20
59,2,13.200199632543281,8.731658291457286,1,0.006771764443489259,0.0008119945193416194,0.007583758962831086,1.7058748311500453,0.8613794381427956,20
63,2,13.200199632543281,9.503517587939697,1,0.004161932263406332,0.0007780363397000678,0.00493996860310647,1.943103643379735,0.697323326014948,20
65,2,13.200199632543281,9.262311557788944,1,0.0017446070292830296,0.00028307258002389853,0.0020276796093069284,1.8624023241160381,0.23698305602241618,20
68,2,13.200199632543281,8.635175879396986,1,0.006190805432443991,0.0007033991765347683,0.006894204608978878,1.6889515600716307,0.7310748139367733,20
70,2,13.200199632543281,8.466331658291457,1,0.0040406692904617625,0.00041808774531498945,0.004458757035776647,1.6548045444632338,0.41095344162529,20
73,2,13.200199632543281,8.34572864321608,1,0.009224914091397807,0.000893235814340627,0.010118149905738677,1.6146754795469365,1.0440901202737103,20
79,2,13.200199632543281,8.65929648241206,1,0.008897854810557826,0.0010246531132099797,0.00992250792376779,1.6940006948588895,1.1764311455318308,20
80,2,13.200199632543281,8.97286432160804,1,0.002852593481735166,0.0003919179033506552,0.0032445113850859547,1.7939349351286478,0.35016211821694493,20
81,2,13.200199632543281,8.490452261306533,1,0.004562713920018391,0.0004784324887719148,0.0050411464087904475,1.6640008652241245,0.4749292375718269,20
82,2,13.200199632543281,8.924623115577889,1,0.00227806315620116,0.00030452703423628353,0.0025825901904374896,1.7864649746980636,0.2677929561299255,20
95,2,13.200199632543281,8.562814070351758,1,0.006546757332444031,0.0007145257565920155,0.007261283089036171,1.6798774253321747,0.7499674261751836,20
96,2,13.200199632543281,9.165829145728644,1,0.006323672250035051,0.0009703145734772405,0.007293986823512233,1.8468731454626575,0.9763175952433515,20
103,2,13.200199632543281,9.045226130653266,1,0.0033290854664878022,0.00047664745055984406,0.0038057329170476453,1.8186867902522499,0.4280589475123116,20
114,2,13.200199632543281,9.6,1,0.00335448931294291,0.0006642222499283443,0.004018711562871137,1.997286868307912,0.5607227374650863,20
115,2,12.509902908589854,8.538693467336683,2,0.005893181559090799,0.0009378893893992,0.006831070948490154,1.6727505278235064,0.6902967239534263,20
119,2,13.200199632543281,8.514572864321607,1,0.0045553892076592994,0.0004840759692347739,0.005039465176894224,1.665876325926807,0.48065003526465766,20
120,2,13.200199632543281,8.996984924623115,1,0.001920328290288209,0.00026748103301754174,0.0021878093233059035,1.7982001806717989,0.23162055134502005,20
124,2,13.200199632543281,9.310552763819095,1,0.001047031068938331,0.00017472658210110085,0.0012217576510392637,1.86903501892849,0.1424059923982284,20
125,2,13.200199632543281,8.586934673366834,1,0.0014707058608252055,0.0001626786980598727,0.0016333845588851676,1.6814261209294252,0.14756839330792612,20
140,2,13.200199632543281,9.358793969849245,1,0.006800335266486712,0.0011672884068980327,0.00796762367338487,1.8907146227193048,1.2098257201109477,20
141,2,13.200199632543281,8.876381909547739,1,0.0017487512411133999,0.00022747375645474336,0.001976224997568254,1.782584763729187,0.19702157600448125,20
144,2,13.200199632543281,9.55175879396985,1,0.004539288476132386,0.0008732824646222968,0.005412570940754613,1.9869283477042172,0.7805129283658495,20
147,2,12.385612154051387,9.382914572864323,2,0.004559830432988354,0.00130738903593329,0.005867219468921614,1.911805094942001,0.8145874784918952,20
148,2,13.068890897034732,9.455276381909547,2,0.000912802581526373,0.0001792983809964631,0.0010921009625230068,1.9425178208655074,0.13130873550854893,20
152,2,13.200199632543281,9.527638190954773,1,0.004626982190370388,0.0008774585648554176,0.005504440755225824,1.9478051828155447,0.8044895857534955,20
157,2,13.200199632543281,9.575879396984924,1,0.0010686041898844145,0.00020856262603763718,0.0012771668159219042,1.9876640854322816,0.16055577525757828,20
160,2,13.200199632543281,8.369849246231155,1,0.002715052183775768,0.0002663975540847554,0.0029814497378605103,1.6346373509248127,0.25523664948454083,20
164,2,13.200199632543281,8.900502512562813,1,0.0021616504039834172,0.0002850443404878209,0.002446694744471282,1.7848280558093543,0.24978772642724484,20
166,2,12.146690514023085,9.069346733668342,2,0.00627847461398745,0.0017161807959999425,0.00799465540998726,1.8194868908512414,1.0535091185201961,20
172,2,13.200199632543281,9.021105527638191,1,0.00868748110534101,0.0012268280682214306,0.009914309173562532,1.8127486042292797,1.3765015284720121,20
176,2,13.12709366551713,9.431155778894471,2,0.0005245581106867458,9.810480694813873e-05,0.0006226629176348521,1.9372819407349802,0.07310596702615124,20
177,2,13.200199632543281,9.093467336683418,1,0.0011226749906041444,0.00016524280418778105,0.0012879177947918922,1.821612772772738,0.13803334355478744,20
178,2,13.200199632543281,9.141708542713568,1,0.000971419915980487,0.00014699899252226006,0.0011184189085027196,1.8400680627216883,0.12105262985080821,20
183,2,13.200199632543281,9.214070351758792,1,0.0011008707191837441,0.00017369404662612194,0.0012745647658096973,1.8528445449857207,0.1428159296093051,20
188,2,13.200199632543281,9.189949748743718,1,0.0022248400749234065,0.0003461696800398369,0.002571009754963289,1.8492655073108382,0.2961149644754668,20
192,2,13.200199632543281,8.393969849246231,1,0.005276715130006604,0.0005246513098496648,0.005801366439856157,1.6358526028515579,0.5378084654036817,20
194,2,13.200199632543281,9.479396984924623,1,0.0011205452235989455,0.00020650204867709521,0.0013270472722760672,1.9427382211713968,0.16273303540470516,20
195,2,13.200199632543281,8.75577889447236,1,0.003164084056746841,0.00038456459812676925,0.0035486486548737145,1.7402995625682987,0.3545598013085255,20
198,2,13.200199632543281,8.70753768844221,1,0.006453398667855881,0.0007634457801199831,0.0072168444479759515,1.699940456752758,0.8014486085473091,20
14,1,6.516044619388565,6.391959798994975,1,0.0003156596507167819,0.004931606544206664,0.005247266194923394,0.5889187899557956,0.4910540697756299,21
