safety_fee_multiple,deterrence_success_rate,n_valid_agents,candidate_share_f,candidate_local_eq_rate,c_star,run_id
1.0,1.0,200,0.36,0.9583333333333334,34.62640986256568,6
1.5,1.0,200,0.36,0.9583333333333334,34.62640986256568,6
2.0,1.0,200,0.36,0.9583333333333334,34.62640986256568,6
0.0,0.0,200,0.36,0.9583333333333334,29.742913685341634,7
0.5,0.0,200,0.36,0.9583333333333334,29.742913685341634,7
1.0,1.0,200,0.36,0.9583333333333334,29.742913685341634,7
1.5,1.0,200,0.36,0.9583333333333334,29.742913685341634,7
2.0,1.0,200,0.36,0.9583333333333334,29.742913685341634,7
0.0,0.0,200,0.36,0.9861111111111112,30.518988735391687,8
0.5,0.0,200,0.36,0.9861111111111112,30.518988735391687,8
1.0,1.0,200,0.36,0.9861111111111112,30.518988735391687,8
1.5,1.0,200,0.36,0.9861111111111112,30.518988735391687,8
2.0,1.0,200,0.36,0.9861111111111112,30.518988735391687,8
0.0,0.0,200,0.36,0.9861111111111112,35.351713771760394,9
0.5,0.0,200,0.36,0.9861111111111112,35.351713771760394,9
1.0,1.0,200,0.36,0.9861111111111112,35.351713771760394,9
1.5,1.0,200,0.36,0.9861111111111112,35.351713771760394,9
2.0,1.0,200,0.36,0.9861111111111112,35.351713771760394,9
0.0,0.0,200,0.36,0.9722222222222222,37.79286706506892,10
0.5,0.0,200,0.36,0.9722222222222222,37.79286706506892,10
1.0,1.0,200,0.36,0.9722222222222222,37.79286706506892,10
1.5,1.0,200,0.36,0.9722222222222222,37.79286706506892,10
2.0,1.0,200,0.36,0.9722222222222222,37.79286706506892,10
0.0,0.0,200,0.36,1.0,36.049223754563485,11
0.5,0.0,200,0.36,1.0,36.049223754563485,11
1.0,1.0,200,0.36,1.0,36.049223754563485,11
1.5,1.0,200,0.36,1.0,36.049223754563485,11
2.0,1.0,200,0.36,1.0,36.049223754563485,11
0.0,0.0,200,0.36,0.9861111111111112,32.272414082601,12
0.5,0.0,200,0.36,0.9861111111111112,32.272414082601,12
1.0,1.0,200,0.36,0.9861111111111112,32.272414082601,12
1.5,1.0,200,0.36,0.9861111111111112,32.272414082601,12
2.0,1.0,200,0.36,0.9861111111111112,32.272414082601,12
0.0,0.0,200,0.36,0.9583333333333334,32.38394788511903,13
0.5,0.0,200,0.36,0.9583333333333334,32.38394788511903,13
1.0,1.0,200,0.36,0.9583333333333334,32.38394788511903,13
1.5,1.0,200,0.36,0.9583333333333334,32.38394788511903,13
2.0,1.0,200,0.36,0.9583333333333334,32.38394788511903,13
0.0,0.0,200,0.36,0.9583333333333334,40.254550401403975,14
0.5,0.0,200,0.36,0.9583333333333334,40.254550401403975,14
1.0,1.0,200,0.36,0.9583333333333334,40.254550401403975,14
1.5,1.0,200,0.36,0.9583333333333334,40.254550401403975,14
2.0,1.0,200,0.36,0.9583333333333334,40.254550401403975,14
0.0,0.0,200,0.36,0.9861111111111112,33.48660545614885,15
0.5,0.0,200,0.36,0.9861111111111112,33.48660545614885,15
1.0,1.0,200,0.36,0.9861111111111112,33.48660545614885,15
1.5,1.0,200,0.36,0.9861111111111112,33.48660545614885,15
2.0,1.0,200,0.36,0.9861111111111112,33.48660545614885,15
0.0,0.0,200,0.36,0.9722222222222222,32.852866650766515,16
0.5,0.0,200,0.36,0.9722222222222222,32.852866650766515,16
1.0,1.0,200,0.36,0.9722222222222222,32.852866650766515,16
1.5,1.0,200,0.36,0.9722222222222222,32.852866650766515,16
2.0,1.0,200,0.36,0.9722222222222222,32.852866650766515,16
0.0,0.0,200,0.36,0.9444444444444444,28.96649817380082,17
0.5,0.0,200,0.36,0.9444444444444444,28.96649817380082,17
1.0,1.0,200,0.36,0.9444444444444444,28.96649817380082,17
1.5,1.0,200,0.36,0.9444444444444444,28.96649817380082,17
2.0,1.0,200,0.36,0.9444444444444444,28.96649817380082,17
0.0,0.0,200,0.36,0.9444444444444444,34.19438744882672,18
0.5,0.0,200,0.36,0.9444444444444444,34.19438744882672,18
1.0,1.0,200,0.36,0.9444444444444444,34.19438744882672,18
1.5,1.0,200,0.36,0.9444444444444444,34.19438744882672,18
2.0,1.0,200,0.36,0.9444444444444444,34.19438744882672,18
0.0,0.0,200,0.36,0.9722222222222222,33.87837793099142,19
0.5,0.0,200,0.36,0.9722222222222222,33.87837793099142,19
1.0,1.0,200,0.36,0.9722222222222222,33.87837793099142,19
1.5,1.0,200,0.36,0.9722222222222222,33.87837793099142,19
2.0,1.0,200,0.36,0.9722222222222222,33.87837793099142,19
