beta,feasible_share,all_core_feasible,mean_slack,run_id
0.45,0.85,0,14.577851384708751,23
0.5,0.875,0,16.290547826576095,23
0.55,0.875,0,18.00324426844344,23
0.6,0.875,0,19.715940710310775,23
0.65,0.925,0,21.42863715217812,23
0.7,0.95,0,23.141333594045456,23
0.75,0.95,0,24.854030035912807,23
0.8,0.95,0,26.566726477780144,23
0.85,0.95,0,28.27942291964748,23
0.9,0.95,0,29.992119361514824,23
0.95,0.95,0,31.704815803382168,23
1.0,0.95,0,33.417512245249505,23
0.0,0.65,0,-0.7580726249670896,24
0.05,0.7,0,1.0146211761625303,24
0.1,0.725,0,2.7873149772921506,24
0.15,0.75,0,4.5600087784217695,24
0.2,0.775,0,6.33270257955139,24
0.25,0.775,0,8.105396380681011,24
0.3,0.8,0,9.878090181810629,24
0.35,0.825,0,11.650783982940249,24
0.4,0.925,0,13.42347778406987,24
0.45,0.95,0,15.196171585199494,24
0.5,0.95,0,16.96886538632911,24
0.55,0.95,0,18.741559187458734,24
0.6,0.95,0,20.514252988588346,24
0.65,0.975,0,22.286946789717966,24
0.7,0.975,0,24.059640590847586,24
0.75,0.975,0,25.832334391977206,24
0.8,0.975,0,27.605028193106836,24
0.85,0.975,0,29.377721994236445,24
0.9,0.975,0,31.150415795366076,24
0.95,0.975,0,32.92310959649569,24
1.0,0.975,0,34.69580339762531,24
0.0,0.5,0,-3.0035418752912837,25
0.05,0.55,0,-1.2620606248359192,25
0.1,0.55,0,0.47942062561944604,25
0.15,0.6,0,2.2209018760748096,25
0.2,0.725,0,3.9623831265301748,25
0.25,0.75,0,5.703864376985538,25
0.3,0.775,0,7.445345627440901,25
0.35,0.8,0,9.186826877896266,25
0.4,0.825,0,10.928308128351635,25
0.45,0.85,0,12.669789378806998,25
0.5,0.875,0,14.411270629262358,25
0.55,0.875,0,16.152751879717727,25
0.6,0.875,0,17.894233130173085,25
0.65,0.9,0,19.63571438062845,25
0.7,0.925,0,21.37719563108381,25
0.75,0.95,0,23.118676881539184,25
0.8,0.95,0,24.860158131994545,25
0.85,0.95,0,26.601639382449907,25
0.9,0.95,0,28.343120632905276,25
0.95,0.95,0,30.08460188336063,25
1.0,0.95,0,31.826083133816006,25
0.0,0.6,0,-1.4777150006826154,26
0.05,0.675,0,0.27504334839204303,26
0.1,0.725,0,2.0278016974667024,26
0.15,0.75,0,3.7805600465413605,26
0.2,0.825,0,5.5333183956160195,26
0.25,0.85,0,7.286076744690678,26
0.3,0.875,0,9.038835093765336,26
0.35,0.9,0,10.791593442839995,26
0.4,0.9,0,12.544351791914654,26
0.45,0.9,0,14.297110140989313,26
0.5,0.925,0,16.049868490063968,26
0.55,0.95,0,17.80262683913863,26
0.6,0.95,0,19.555385188213286,26
0.65,0.95,0,21.308143537287943,26
0.7,0.95,0,23.060901886362608,26
0.75,0.95,0,24.813660235437265,26
0.8,0.95,0,26.566418584511922,26
0.85,0.95,0,28.31917693358658,26
0.9,0.95,0,30.07193528266124,26
0.95,0.95,0,31.824693631735897,26
1.0,0.975,0,33.57745198081055,26
0.0,0.625,0,-3.42540930062905,27
0.05,0.625,0,-1.5682805297352909,27
0.1,0.65,0,0.2888482411584693,27
0.15,0.7,0,2.145977012052228,27
0.2,0.7,0,4.003105782945989,27
0.25,0.75,0,5.860234553839748,27
0.3,0.775,0,7.7173633247335065,27
0.35,0.8,0,9.574492095627262,27
0.4,0.825,0,11.431620866521026,27
0.45,0.825,0,13.288749637414782,27
0.5,0.85,0,15.145878408308544,27
0.55,0.85,0,17.003007179202307,27
0.6,0.875,0,18.86013595009606,27
0.65,0.9,0,20.717264720989817,27
0.7,0.925,0,22.574393491883576,27
0.75,0.925,0,24.43152226277734,27
0.8,0.925,0,26.2886510336711,27
0.85,0.925,0,28.145779804564864,27
0.9,0.925,0,30.002908575458616,27
0.95,0.925,0,31.860037346352374,27
1.0,0.925,0,33.71716611724614,27
0.0,0.675,0,-1.0509425296379038,28
0.05,0.725,0,0.7512069295122352,28
0.1,0.725,0,2.553356388662375,28
0.15,0.8,0,4.355505847812514,28
0.2,0.825,0,6.157655306962655,28
0.25,0.85,0,7.959804766112794,28
0.3,0.85,0,9.761954225262931,28
0.35,0.875,0,11.564103684413073,28
0.4,0.875,0,13.366253143563213,28
0.45,0.9,0,15.168402602713353,28
0.5,0.9,0,16.970552061863494,28
0.55,0.95,0,18.77270152101363,28
0.6,0.95,0,20.574850980163767,28
0.65,0.975,0,22.37700043931391,28
0.7,0.975,0,24.17914989846405,28
0.75,0.975,0,25.981299357614194,28
0.8,0.975,0,27.78344881676433,28
0.85,0.975,0,29.58559827591447,28
0.9,0.975,0,31.387747735064615,28
0.95,0.975,0,33.189897194214744,28
1.0,0.975,0,34.99204665336489,28
0.0,0.6,0,-0.9784771205940819,29
0.05,0.65,0,0.8787902471201281,29
0.1,0.65,0,2.736057614834339,29
0.15,0.75,0,4.593324982548547,29
0.2,0.8,0,6.450592350262761,29
0.25,0.825,0,8.307859717976967,29
0.3,0.825,0,10.165127085691179,29
0.35,0.825,0,12.02239445340539,29
0.4,0.85,0,13.879661821119601,29
0.45,0.9,0,15.736929188833807,29
0.5,0.925,0,17.59419655654802,29
0.55,0.95,0,19.451463924262235,29
0.6,0.95,0,21.30873129197644,29
0.65,0.95,0,23.165998659690654,29
0.7,0.95,0,25.023266027404862,29
0.75,1.0,1,26.880533395119073,29
0.8,1.0,1,28.737800762833285,29
0.85,1.0,1,30.595068130547496,29
0.9,1.0,1,32.452335498261704,29
0.95,1.0,1,34.30960286597591,29
1.0,1.0,1,36.16687023369012,29
0.0,0.6,0,-8.855466074486325,30
0.05,0.65,0,-7.229470380122967,30
0.1,0.65,0,-5.603474685759606,30
0.15,0.65,0,-3.977478991396248,30
0.2,0.65,0,-2.351483297032888,30
