t,W,run_id,source,mechanism,beta_rhood
4,1273.6666544325365,0,theory_deposit_async,deposit,
5,1373.698108927872,0,theory_deposit_async,deposit,
6,1503.0728478890094,0,theory_deposit_async,deposit,
7,1503.0728478890094,0,theory_deposit_async,deposit,
8,1503.0728478890094,0,theory_deposit_async,deposit,
9,1503.0728478890094,0,theory_deposit_async,deposit,
10,1503.0728478890094,0,theory_deposit_async,deposit,
11,1503.0728478890094,0,theory_deposit_async,deposit,
12,1503.0728478890094,0,theory_deposit_async,deposit,
13,1503.0728478890094,0,theory_deposit_async,deposit,
14,1503.0728478890094,0,theory_deposit_async,deposit,
15,1503.0728478890094,0,theory_deposit_async,deposit,
16,1503.0728478890094,0,theory_deposit_async,deposit,
17,1503.0728478890094,0,theory_deposit_async,deposit,
18,1503.0728478890094,0,theory_deposit_async,deposit,
19,1503.0728478890094,0,theory_deposit_async,deposit,
20,1503.0728478890094,0,theory_deposit_async,deposit,
21,1503.0728478890094,0,theory_deposit_async,deposit,
22,1503.0728478890094,0,theory_deposit_async,deposit,
23,1503.0728478890094,0,theory_deposit_async,deposit,
24,1503.0728478890094,0,theory_deposit_async,deposit,
25,1503.0728478890094,0,theory_deposit_async,deposit,
26,1503.0728478890094,0,theory_deposit_async,deposit,
27,1503.0728478890094,0,theory_deposit_async,deposit,
28,1503.0728478890094,0,theory_deposit_async,deposit,
29,1503.0728478890094,0,theory_deposit_async,deposit,
30,1503.0728478890094,0,theory_deposit_async,deposit,
31,1503.0728478890094,0,theory_deposit_async,deposit,
32,1503.0728478890094,0,theory_deposit_async,deposit,
33,1503.0728478890094,0,theory_deposit_async,deposit,
34,1503.0728478890094,0,theory_deposit_async,deposit,
35,1503.0728478890094,0,theory_deposit_async,deposit,
36,1503.0728478890094,0,theory_deposit_async,deposit,
37,1503.0728478890094,0,theory_deposit_async,deposit,
38,1503.0728478890094,0,theory_deposit_async,deposit,
39,1503.0728478890094,0,theory_deposit_async,deposit,
40,1503.0728478890094,0,theory_deposit_async,deposit,
41,1503.0728478890094,0,theory_deposit_async,deposit,
42,1503.0728478890094,0,theory_deposit_async,deposit,
43,1503.0728478890094,0,theory_deposit_async,deposit,
44,1503.0728478890094,0,theory_deposit_async,deposit,
45,1503.0728478890094,0,theory_deposit_async,deposit,
46,1503.0728478890094,0,theory_deposit_async,deposit,
47,1503.0728478890094,0,theory_deposit_async,deposit,
48,1503.0728478890094,0,theory_deposit_async,deposit,
49,1503.0728478890094,0,theory_deposit_async,deposit,
50,1503.0728478890094,0,theory_deposit_async,deposit,
51,1503.0728478890094,0,theory_deposit_async,deposit,
52,1503.0728478890094,0,theory_deposit_async,deposit,
53,1503.0728478890094,0,theory_deposit_async,deposit,
54,1503.0728478890094,0,theory_deposit_async,deposit,
55,1503.0728478890094,0,theory_deposit_async,deposit,
56,1503.0728478890094,0,theory_deposit_async,deposit,
57,1503.0728478890094,0,theory_deposit_async,deposit,
58,1503.0728478890094,0,theory_deposit_async,deposit,
59,1503.0728478890094,0,theory_deposit_async,deposit,
60,1503.0728478890094,0,theory_deposit_async,deposit,
61,1503.0728478890094,0,theory_deposit_async,deposit,
62,1503.0728478890094,0,theory_deposit_async,deposit,
63,1503.0728478890094,0,theory_deposit_async,deposit,
64,1503.0728478890094,0,theory_deposit_async,deposit,
65,1503.0728478890094,0,theory_deposit_async,deposit,
66,1503.0728478890094,0,theory_deposit_async,deposit,
67,1503.0728478890094,0,theory_deposit_async,deposit,
68,1503.0728478890094,0,theory_deposit_async,deposit,
69,1503.0728478890094,0,theory_deposit_async,deposit,
70,1503.0728478890094,0,theory_deposit_async,deposit,
71,1503.0728478890094,0,theory_deposit_async,deposit,
72,1503.0728478890094,0,theory_deposit_async,deposit,
73,1503.0728478890094,0,theory_deposit_async,deposit,
74,1503.0728478890094,0,theory_deposit_async,deposit,
75,1503.0728478890094,0,theory_deposit_async,deposit,
76,1503.0728478890094,0,theory_deposit_async,deposit,
77,1503.0728478890094,0,theory_deposit_async,deposit,
78,1503.0728478890094,0,theory_deposit_async,deposit,
79,1503.0728478890094,0,theory_deposit_async,deposit,
80,1503.0728478890094,0,theory_deposit_async,deposit,
81,1503.0728478890094,0,theory_deposit_async,deposit,
82,1503.0728478890094,0,theory_deposit_async,deposit,
83,1503.0728478890094,0,theory_deposit_async,deposit,
84,1503.0728478890094,0,theory_deposit_async,deposit,
85,1503.0728478890094,0,theory_deposit_async,deposit,
86,1503.0728478890094,0,theory_deposit_async,deposit,
87,1503.0728478890094,0,theory_deposit_async,deposit,
88,1503.0728478890094,0,theory_deposit_async,deposit,
89,1503.0728478890094,0,theory_deposit_async,deposit,
90,1503.0728478890094,0,theory_deposit_async,deposit,
91,1503.0728478890094,0,theory_deposit_async,deposit,
92,1503.0728478890094,0,theory_deposit_async,deposit,
93,1503.0728478890094,0,theory_deposit_async,deposit,
94,1503.0728478890094,0,theory_deposit_async,deposit,
95,1503.0728478890094,0,theory_deposit_async,deposit,
96,1503.0728478890094,0,theory_deposit_async,deposit,
97,1503.0728478890094,0,theory_deposit_async,deposit,
98,1503.0728478890094,0,theory_deposit_async,deposit,
99,1503.0728478890094,0,theory_deposit_async,deposit,
100,1503.0728478890094,0,theory_deposit_async,deposit,
0,1115.9313068244933,0,simulation_rhood,rhood,0.05
1,1026.9414173077548,0,simulation_rhood,rhood,0.05
2,1069.2465480237943,0,simulation_rhood,rhood,0.05
3,1148.4963827850056,0,simulation_rhood,rhood,0.05
4,1273.6666544325365,0,simulation_rhood,rhood,0.05
5,1373.698108927872,0,simulation_rhood,rhood,0.05
6,1503.0728478890094,0,simulation_rhood,rhood,0.05
