run_id,source,share_N,share_E,share_F,beta_rr
14,theory_safety_fee,0.0,1.0,0.0,0.05
14,theory_safety_fee_async,0.0,0.59,0.41,0.05
15,simulation_safety_fee,0.0,0.625,0.375,0.05
15,theory_safety_fee,0.0,1.0,0.0,0.05
15,theory_safety_fee_async,0.0,0.625,0.375,0.05
16,simulation_safety_fee,0.0,0.635,0.365,0.05
16,theory_safety_fee,0.0,1.0,0.0,0.05
16,theory_safety_fee_async,0.0,0.615,0.385,0.05
17,simulation_safety_fee,0.0,0.71,0.29,0.05
17,theory_safety_fee,0.0,1.0,0.0,0.05
17,theory_safety_fee_async,0.0,0.71,0.29,0.05
18,simulation_safety_fee,0.0,0.675,0.325,0.05
18,theory_safety_fee,0.0,0.94,0.06,0.05
18,theory_safety_fee_async,0.0,0.675,0.325,0.05
19,simulation_safety_fee,0.0,0.72,0.28,0.05
19,theory_safety_fee,0.0,0.94,0.06,0.05
19,theory_safety_fee_async,0.0,0.72,0.28,0.05
20,simulation_safety_fee,0.0,0.67,0.33,0.05
20,theory_safety_fee,0.0,0.94,0.06,0.05
20,theory_safety_fee_async,0.0,0.67,0.33,0.05
21,simulation_safety_fee,0.0,0.69,0.31,0.05
21,theory_safety_fee,0.0,0.94,0.06,0.05
21,theory_safety_fee_async,0.0,0.69,0.31,0.05
22,simulation_safety_fee,0.0,0.72,0.28,0.05
22,theory_safety_fee,0.0,0.94,0.06,0.05
22,theory_safety_fee_async,0.0,0.69,0.31,0.05
23,simulation_safety_fee,0.0,0.68,0.32,0.05
23,theory_safety_fee,0.0,0.94,0.06,0.05
23,theory_safety_fee_async,0.0,0.655,0.345,0.05
24,simulation_safety_fee,0.0,0.665,0.335,0.05
24,theory_safety_fee,0.0,0.94,0.06,0.05
24,theory_safety_fee_async,0.0,0.64,0.36,0.05
25,simulation_safety_fee,0.0,0.645,0.355,0.05
25,theory_safety_fee,0.0,0.94,0.06,0.05
25,theory_safety_fee_async,0.0,0.625,0.375,0.05
26,simulation_safety_fee,0.0,0.63,0.37,0.05
26,theory_safety_fee,0.0,0.94,0.06,0.05
26,theory_safety_fee_async,0.0,0.63,0.37,0.05
27,simulation_safety_fee,0.0,0.63,0.37,0.05
27,theory_safety_fee,0.0,0.94,0.06,0.05
27,theory_safety_fee_async,0.0,0.63,0.37,0.05
28,simulation_safety_fee,0.0,0.655,0.345,0.05
28,theory_safety_fee,0.0,0.94,0.06,0.05
28,theory_safety_fee_async,0.0,0.63,0.37,0.05
29,simulation_safety_fee,0.0,0.7,0.3,0.05
29,theory_safety_fee,0.0,0.94,0.06,0.05
29,theory_safety_fee_async,0.0,0.7,0.3,0.05
30,simulation_safety_fee,0.0,0.7,0.3,0.05
30,theory_safety_fee,0.0,0.94,0.06,0.05
30,theory_safety_fee_async,0.0,0.685,0.315,0.05
31,simulation_safety_fee,0.0,0.715,0.285,0.05
31,theory_safety_fee,0.0,0.94,0.06,0.05
31,theory_safety_fee_async,0.0,0.67,0.33,0.05
32,simulation_safety_fee,0.0,0.6,0.4,0.05
32,theory_safety_fee,0.0,0.94,0.06,0.05
32,theory_safety_fee_async,0.0,0.6,0.4,0.05
33,simulation_safety_fee,0.0,0.69,0.31,0.05
33,theory_safety_fee,0.0,0.94,0.06,0.05
33,theory_safety_fee_async,0.0,0.67,0.33,0.05
34,simulation_safety_fee,0.0,0.655,0.345,0.05
34,theory_safety_fee,0.0,0.94,0.06,0.05
34,theory_safety_fee_async,0.0,0.635,0.365,0.05
35,simulation_safety_fee,0.0,0.65,0.35,0.05
35,theory_safety_fee,0.0,0.94,0.06,0.05
35,theory_safety_fee_async,0.0,0.635,0.365,0.05
