W,t,mechanism_label
1842.3132513205237,117,DM-ASD (t=20)
1842.3132513205237,118,DM-ASD (t=20)
1842.3132513205237,119,DM-ASD (t=20)
1842.3132513205237,120,DM-ASD (t=20)
958.9255969286748,0,PM
958.2728092875709,1,PM
961.1573180520749,2,PM
975.6113212626307,3,PM
989.1259035838967,4,PM
1020.4882908754842,5,PM
1047.282399682683,6,PM
1077.5523823266064,7,PM
1109.9406307988702,8,PM
1130.8802939299119,9,PM
1146.7828635810693,10,PM
1164.953931558162,11,PM
1177.0276547611802,12,PM
1187.2921177413114,13,PM
1195.185489536948,14,PM
1197.7248193163005,15,PM
1199.8917609952425,16,PM
1200.1738755905292,17,PM
1200.157708301437,18,PM
1198.9984623827036,19,PM
1195.010567283751,20,PM
1191.8412488145818,21,PM
1188.37605637456,22,PM
1183.3478530473535,23,PM
1178.9893883841862,24,PM
1173.1075107003485,25,PM
1170.8679960246818,26,PM
1166.8622991845705,27,PM
1162.2004913319736,28,PM
1154.5111224725924,29,PM
1147.949614936043,30,PM
1142.5232142274826,31,PM
1137.725509152576,32,PM
1131.3634250729247,33,PM
1125.4885631803234,34,PM
1121.0807731381622,35,PM
1117.9893154704778,36,PM
1113.3722644372112,37,PM
1107.7828402507544,38,PM
1102.5590241159894,39,PM
1097.7452312175537,40,PM
1092.4725081537563,41,PM
1084.510595915698,42,PM
1081.9226748191713,43,PM
1078.3226913172564,44,PM
1072.314716502351,45,PM
1070.80738255451,46,PM
1067.0221508850943,47,PM
1065.1969549004316,48,PM
1062.8144445582643,49,PM
1058.8547813399452,50,PM
1056.6276729676486,51,PM
1054.6296347476177,52,PM
1052.0259884601064,53,PM
1050.0733157145557,54,PM
1047.278224318457,55,PM
1044.9896146822152,56,PM
1044.57745067337,57,PM
1043.1936767281584,58,PM
1040.649375997359,59,PM
1040.5383898125172,60,PM
1039.6493168430147,61,PM
1038.3348703482689,62,PM
1037.8417809150646,63,PM
1037.310206670568,64,PM
1037.0058136377577,65,PM
1036.3124071036436,66,PM
1035.1594320233407,67,PM
1034.1465421835424,68,PM
1034.1465421835424,69,PM
1033.525396502293,70,PM
1033.0856347498827,71,PM
1032.573146106662,72,PM
1032.2677622460164,73,PM
1031.7126477195798,74,PM
1031.7126477195798,75,PM
1031.7126477195798,76,PM
1031.7126477195798,77,PM
1031.7126477195798,78,PM
1031.7126477195798,79,PM
1031.7126477195798,80,PM
1031.7126477195798,81,PM
1031.7126477195798,82,PM
1031.7126477195798,83,PM
1031.7126477195798,84,PM
1031.7126477195798,85,PM
1031.7126477195798,86,PM
1031.7126477195798,87,PM
1031.7126477195798,88,PM
1031.7126477195798,89,PM
1031.7126477195798,90,PM
1031.7126477195798,91,PM
1031.7126477195798,92,PM
1031.7126477195798,93,PM
1031.7126477195798,94,PM
1031.7126477195798,95,PM
1031.7126477195798,96,PM
1031.7126477195798,97,PM
1031.7126477195798,98,PM
1031.7126477195798,99,PM
1031.7126477195798,100,PM
1031.7126477195798,101,PM
1031.7126477195798,102,PM
1031.7126477195798,103,PM
1031.7126477195798,104,PM
1031.7126477195798,105,PM
1031.7126477195798,106,PM
1031.7126477195798,107,PM
1031.7126477195798,108,PM
1031.7126477195798,109,PM
1031.7126477195798,110,PM
1031.7126477195798,111,PM
1031.7126477195798,112,PM
1031.7126477195798,113,PM
1031.7126477195798,114,PM
1031.7126477195798,115,PM
1031.7126477195798,116,PM
1031.7126477195798,117,PM
1031.7126477195798,118,PM
1031.7126477195798,119,PM
1031.7126477195798,120,PM
958.9255969286748,0,RR
964.9346815471981,1,RR
1053.1782725055139,2,RR
1161.9289016857056,3,RR
1266.1747448783701,4,RR
1372.2842698616219,5,RR
1467.4027118356728,6,RR
1564.1857503616995,7,RR
1644.3801964633067,8,RR
1703.737506057865,9,RR
1749.715917718594,10,RR
1791.8653877502607,11,RR
1823.3382768985384,12,RR
1843.6421099099414,13,RR
1857.4319472572913,14,RR
1864.4612037048496,15,RR
1866.8384257021235,16,RR
1865.1090071794742,17,RR
1859.8786632195272,18,RR
1853.4284095411083,19,RR
1842.3132513205237,20,RR
1832.156758027079,21,RR
1820.180980713836,22,RR
1808.6930084228543,23,RR
1794.6025675451053,24,RR
1779.975409413144,25,RR
1764.9309965056902,26,RR
1748.6898760051745,27,RR
1734.7999630269026,28,RR
1718.4169189250747,29,RR
1699.7913593716448,30,RR
1683.2724460571242,31,RR
1671.7601488800867,32,RR
1657.3074120537283,33,RR
1644.023752856709,34,RR
1628.4106295786414,35,RR
1615.367041011989,36,RR
1599.1648790093861,37,RR
1584.8786952247165,38,RR
1572.0415980114335,39,RR
1558.0345963227583,40,RR
1543.5806526723272,41,RR
1529.55175755148,42,RR
1515.6981255714504,43,RR
1506.29969513382,44,RR
1491.6057597377005,45,RR
1484.9084412648233,46,RR
1473.1289721704143,47,RR
1466.2772563417175,48,RR
1458.3490774946317,49,RR
1449.0483748907675,50,RR
1441.2790733447312,51,RR
1434.2355813262047,52,RR
1424.6343225102926,53,RR
1417.3348774124588,54,RR
1410.7969298652129,55,RR
1404.3661163077818,56,RR
1398.4393666876013,57,RR
1392.214949617385,58,RR
1387.2316054577777,59,RR
1386.264320593089,60,RR
1384.72058664692,61,RR
1383.0551091768102,62,RR
1380.318734619543,63,RR
1378.254325244091,64,RR
1377.7993090813638,65,RR
1376.2437819502668,66,RR
1374.6692489572035,67,RR
1373.285856872783,68,RR
1372.2399285081824,69,RR
1371.523491026156,70,RR
1370.532390682804,71,RR
1369.947436868736,72,RR
1369.8122140068556,73,RR
1369.179563930385,74,RR
1369.179563930385,75,RR
1369.179563930385,76,RR
1369.179563930385,77,RR
1369.179563930385,78,RR
1369.179563930385,79,RR
1369.179563930385,80,RR
1369.179563930385,81,RR
1369.179563930385,82,RR
1369.179563930385,83,RR
1369.179563930385,84,RR
1369.179563930385,85,RR
1369.179563930385,86,RR
1369.179563930385,87,RR
1369.179563930385,88,RR
1369.179563930385,89,RR
1369.179563930385,90,RR
1369.179563930385,91,RR
1369.179563930385,92,RR
1369.179563930385,93,RR
1369.179563930385,94,RR
1369.179563930385,95,RR
1369.179563930385,96,RR
1369.179563930385,97,RR
1369.179563930385,98,RR
1369.179563930385,99,RR
1369.179563930385,100,RR
1369.179563930385,101,RR
1369.179563930385,102,RR
1369.179563930385,103,RR
1369.179563930385,104,RR
1369.179563930385,105,RR
1369.179563930385,106,RR
1369.179563930385,107,RR
1369.179563930385,108,RR
1369.179563930385,109,RR
1369.179563930385,110,RR
1369.179563930385,111,RR
1369.179563930385,112,RR
1369.179563930385,113,RR
