t,share_N,share_E,share_F,W,C_ext,run_id,regime
8,0.015,0.945,0.04,944.5120933982439,3.566137710740655,18,safety_only
9,0.02,0.945,0.035,932.7606191940895,3.0781178881728852,18,safety_only
10,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,safety_only
11,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,safety_only
12,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,safety_only
13,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,safety_only
0,0.0,0.94,0.06,917.0483917231546,9.393893727128605,19,primitive_baseline
1,0.0,0.89,0.11,1049.6832520632631,15.353669351272579,19,primitive_baseline
2,0.0,0.845,0.155,1134.8557666097818,18.881635184908006,19,primitive_baseline
3,0.005,0.805,0.19,1246.657278748728,24.396461645646482,19,primitive_baseline
4,0.01,0.76,0.23,1326.6801740052224,27.885928724262453,19,primitive_baseline
5,0.01,0.72,0.27,1461.3234989311147,32.53747446510416,19,primitive_baseline
6,0.01,0.685,0.305,1558.0762072411167,35.807580851940585,19,primitive_baseline
7,0.015,0.65,0.335,1670.1324114887113,41.0337392271191,19,primitive_baseline
8,0.015,0.605,0.38,1725.9172293990653,44.27767704059331,19,primitive_baseline
9,0.015,0.565,0.42,1752.5631505184099,46.27244329148236,19,primitive_baseline
10,0.02,0.535,0.445,1749.0888990775225,48.7878727183182,19,primitive_baseline
11,0.02,0.5,0.48,1761.1655392588955,50.57240168215979,19,primitive_baseline
12,0.02,0.47,0.51,1766.0413178552708,51.59393430573532,19,primitive_baseline
13,0.02,0.445,0.535,1771.6950538577253,53.927389056374395,19,primitive_baseline
14,0.02,0.425,0.555,1771.005054015264,55.64792468245315,19,primitive_baseline
15,0.02,0.405,0.575,1768.18227408496,56.79911654754028,19,primitive_baseline
16,0.02,0.385,0.595,1764.248810227203,57.82069103300536,19,primitive_baseline
17,0.025,0.365,0.61,1749.0275609070054,58.41077345590617,19,primitive_baseline
18,0.025,0.34,0.635,1739.147841475757,59.972011754909005,19,primitive_baseline
19,0.03,0.32,0.65,1695.0061992927244,60.49520148664847,19,primitive_baseline
20,0.03,0.3,0.67,1679.741155316799,62.09769931023993,19,primitive_baseline
21,0.03,0.29,0.68,1657.6639734165055,63.99152454599381,19,primitive_baseline
22,0.03,0.265,0.705,1630.8431762601695,65.89138677037425,19,primitive_baseline
23,0.03,0.255,0.715,1614.8540717289263,66.88495438299643,19,primitive_baseline
24,0.03,0.24,0.73,1597.6765144053873,67.89023103379952,19,primitive_baseline
25,0.03,0.235,0.735,1562.3043991429222,69.74463244988894,19,primitive_baseline
26,0.03,0.225,0.745,1546.9997082881478,70.4946584705257,19,primitive_baseline
27,0.03,0.225,0.745,1546.9997082881478,70.4946584705257,19,primitive_baseline
28,0.03,0.21,0.76,1540.7185275313702,70.7939354693439,19,primitive_baseline
29,0.035,0.2,0.765,1502.6680099957073,70.86034421249525,19,primitive_baseline
30,0.035,0.195,0.77,1501.7763631687249,70.90122134305133,19,primitive_baseline
31,0.035,0.18,0.785,1480.5892491976556,71.85347787663599,19,primitive_baseline
32,0.035,0.175,0.79,1470.706809818388,72.28403110155212,19,primitive_baseline
33,0.04,0.16,0.8,1442.080055648194,73.00291079234343,19,primitive_baseline
34,0.04,0.14,0.82,1417.1349930674003,74.00536895513714,19,primitive_baseline
35,0.04,0.13,0.83,1409.2412743926534,74.31262370083562,19,primitive_baseline
36,0.04,0.125,0.835,1403.623688191802,74.53059491149776,19,primitive_baseline
37,0.04,0.11,0.85,1373.003515624696,75.6842847967012,19,primitive_baseline
38,0.04,0.105,0.855,1364.2876682371946,76.00314239350568,19,primitive_baseline
39,0.04,0.1,0.86,1362.3995300667857,76.07181101475072,19,primitive_baseline
40,0.04,0.095,0.865,1359.7320598386893,76.1675169974134,19,primitive_baseline
41,0.04,0.095,0.865,1359.7320598386893,76.1675169974134,19,primitive_baseline
42,0.04,0.09,0.87,1345.265369060697,76.68123684933109,19,primitive_baseline
43,0.04,0.08,0.88,1334.5773897954114,77.05646054414933,19,primitive_baseline
44,0.04,0.08,0.88,1334.5773897954114,77.05646054414933,19,primitive_baseline
45,0.04,0.08,0.88,1334.5773897954114,77.05646054414933,19,primitive_baseline
46,0.04,0.08,0.88,1334.5773897954114,77.05646054414933,19,primitive_baseline
47,0.04,0.07,0.89,1324.8211831409578,77.3951447151733,19,primitive_baseline
48,0.04,0.07,0.89,1324.8211831409578,77.3951447151733,19,primitive_baseline
49,0.04,0.06,0.9,1317.8940102350834,77.63081020562535,19,primitive_baseline
50,0.04,0.055,0.905,1308.7452953675916,77.94283463607064,19,primitive_baseline
51,0.04,0.05,0.91,1307.3048927106838,77.99117009262012,19,primitive_baseline
52,0.04,0.045,0.915,1302.2313118186344,78.1601055950733,19,primitive_baseline
53,0.04,0.04,0.92,1293.618657613185,78.44478688054633,19,primitive_baseline
54,0.04,0.035,0.925,1289.8817525331049,78.56863632785017,19,primitive_baseline
55,0.04,0.03,0.93,1283.7567080793617,78.77096838796825,19,primitive_baseline
56,0.04,0.025,0.935,1276.6266352478094,79.00183746608829,19,primitive_baseline
57,0.04,0.025,0.935,1276.6266352478094,79.00183746608829,19,primitive_baseline
58,0.04,0.02,0.94,1264.6879144196319,79.38475964774831,19,primitive_baseline
59,0.045,0.015,0.94,1253.0467253918569,79.38475964774831,19,primitive_baseline
60,0.045,0.015,0.94,1253.0467253918569,79.38475964774831,19,primitive_baseline
61,0.045,0.015,0.94,1253.0467253918569,79.38475964774831,19,primitive_baseline
62,0.045,0.01,0.945,1237.2701099549167,79.8862029608732,19,primitive_baseline
63,0.045,0.01,0.945,1237.2701099549167,79.8862029608732,19,primitive_baseline
64,0.045,0.01,0.945,1237.2701099549167,79.8862029608732,19,primitive_baseline
65,0.045,0.005,0.95,1229.169960420215,80.13920881571204,19,primitive_baseline
66,0.045,0.005,0.95,1229.169960420215,80.13920881571204,19,primitive_baseline
67,0.045,0.005,0.95,1229.169960420215,80.13920881571204,19,primitive_baseline
68,0.045,0.005,0.95,1229.169960420215,80.13920881571204,19,primitive_baseline
69,0.045,0.005,0.95,1229.169960420215,80.13920881571204,19,primitive_baseline
0,0.0,0.94,0.06,917.0483917231546,9.393893727128605,19,safety_only
1,0.0,0.89,0.11,1049.6832520632631,15.353669351272579,19,safety_only
2,0.0,0.845,0.155,1134.8557666097818,18.881635184908006,19,safety_only
3,0.005,0.805,0.19,1246.657278748728,24.396461645646482,19,safety_only
4,0.01,0.76,0.23,1326.6801740052224,27.885928724262453,19,safety_only
5,0.01,0.72,0.27,1461.3234989311147,32.53747446510416,19,safety_only
6,0.02,0.71,0.27,1402.6534464007866,32.53747446510416,19,safety_only
7,0.025,0.705,0.27,1392.1294986687597,32.53747446510416,19,safety_only
8,0.035,0.695,0.27,1333.9540245218056,32.53747446510416,19,safety_only
9,0.035,0.695,0.27,1333.9540245218056,32.53747446510416,19,safety_only
0,0.0,0.94,0.06,785.6056602898913,6.646097136026993,20,primitive_baseline
1,0.01,0.91,0.08,807.2913529566154,8.528813177060362,20,primitive_baseline
2,0.01,0.875,0.115,903.8680136052927,13.35968899525362,20,primitive_baseline
3,0.01,0.83,0.16,1004.3609391371432,17.914247151501353,20,primitive_baseline
4,0.01,0.78,0.21,1082.5593657651557,21.24582969580454,20,primitive_baseline
5,0.01,0.74,0.25,1138.6152171622548,23.53827339257691,20,primitive_baseline
6,0.01,0.72,0.27,1199.77185746071,25.958900430768416,20,primitive_baseline
7,0.01,0.68,0.31,1279.5912369883958,28.988524919343444,20,primitive_baseline
8,0.01,0.65,0.34,1378.388396839482,32.59100201406511,20,primitive_baseline
9,0.01,0.615,0.375,1452.7637681629665,35.62779090329536,20,primitive_baseline
10,0.01,0.595,0.395,1487.1167033004765,37.283872403420304,20,primitive_baseline
11,0.01,0.56,0.43,1533.4234603473678,39.95530776093029,20,primitive_baseline
12,0.01,0.54,0.45,1557.1601140973344,41.650803812504634,20,primitive_baseline
13,0.01,0.51,0.48,1587.4602266436168,44.59334072913257,20,primitive_baseline
14,0.01,0.49,0.5,1602.8595310059045,47.02488627985963,20,primitive_baseline
15,0.015,0.455,0.53,1586.800163666822,50.24923999648877,20,primitive_baseline
16,0.015,0.42,0.565,1577.4034851240326,53.57194466568154,20,primitive_baseline
17,0.015,0.41,0.575,1572.428945955473,54.41087975785411,20,primitive_baseline
18,0.015,0.385,0.6,1558.4950606349416,56.19010105585413,20,primitive_baseline
19,0.015,0.375,0.61,1550.195351351896,57.048615227279605,20,primitive_baseline
20,0.01,0.355,0.635,1524.4671156316158,59.58883556826916,20,primitive_baseline
21,0.01,0.325,0.665,1498.3700989868807,61.33350169483238,20,primitive_baseline
22,0.01,0.31,0.68,1481.1502447920607,62.35427242919057,20,primitive_baseline
