t,share_N,share_E,share_F,W,C_ext,run_id,fee_multiple
15,0.0,0.63,0.37,1551.3706686163177,30.916822221448534,25,1.5
16,0.0,0.645,0.355,1516.8083322792904,29.65890042096418,25,1.5
17,0.0,0.62,0.38,1591.5569288268523,32.35627478660717,25,1.5
18,0.0,0.625,0.375,1589.448650893609,32.281335516173556,25,1.5
19,0.0,0.645,0.355,1511.992223749687,29.48047436921788,25,1.5
20,0.0,0.66,0.34,1496.6307516966012,28.91349562126513,25,1.5
21,0.0,0.63,0.37,1592.9071925233259,32.39967957989579,25,1.5
22,0.0,0.635,0.365,1577.3152684475954,31.844749764147252,25,1.5
23,0.0,0.66,0.34,1544.7596371319357,30.674649105651078,25,1.5
24,0.0,0.63,0.37,1595.7118855151164,32.49576626914416,25,1.5
25,0.0,0.64,0.36,1523.392040328042,29.893997730639022,25,1.5
26,0.0,0.615,0.385,1567.6961653555588,31.49779584380917,25,1.5
27,0.0,0.64,0.36,1542.045680490592,30.576090912590487,25,1.5
28,0.0,0.645,0.355,1532.3518213817717,30.222164680254664,25,1.5
29,0.0,0.66,0.34,1509.878331266334,29.396696353600596,25,1.5
30,0.0,0.625,0.375,1604.6592579003104,32.815867326385046,25,1.5
31,0.0,0.64,0.36,1574.5936726475309,31.74807695984267,25,1.5
32,0.0,0.645,0.355,1560.6307780529946,31.246549385259144,25,1.5
33,0.0,0.66,0.34,1525.157691886252,29.95971223384333,25,1.5
34,0.0,0.675,0.325,1496.279807184838,28.896971838570174,25,1.5
35,0.0,0.655,0.345,1567.8803588070216,31.514483826889165,25,1.5
36,0.0,0.67,0.33,1552.7829745196038,30.972441936501728,25,1.5
37,0.0,0.69,0.31,1495.1801360675845,28.86384455471274,25,1.5
38,0.0,0.655,0.345,1574.378846800132,31.74792783113013,25,1.5
39,0.0,0.675,0.325,1515.2145619616783,29.607923064437145,25,1.5
40,0.0,0.69,0.31,1458.4542773336382,27.49161402286265,25,1.5
41,0.0,0.655,0.345,1527.9501387246605,30.072526132894673,25,1.5
42,0.0,0.665,0.335,1514.285293223214,29.57291732131485,25,1.5
43,0.0,0.625,0.375,1592.0411303511664,32.37548901781696,25,1.5
44,0.0,0.66,0.34,1512.030305983463,29.48537253390683,25,1.5
45,0.0,0.625,0.375,1588.7172009437008,32.25252598603352,25,1.5
46,0.0,0.64,0.36,1566.3381035234265,31.452199474121237,25,1.5
47,0.0,0.66,0.34,1495.4411484745758,28.859029241075778,25,1.5
48,0.0,0.665,0.335,1482.527732754046,28.378255834418468,25,1.5
49,0.0,0.63,0.37,1568.9652900393583,31.53665872545203,25,1.5
50,0.0,0.66,0.34,1488.9165406045122,28.612314858179353,25,1.5
51,0.0,0.635,0.365,1530.8087565257947,30.154132980596856,25,1.5
52,0.0,0.61,0.39,1589.6390163955036,32.26829880962477,25,1.5
53,0.0,0.63,0.37,1549.1446116906138,30.819252558519793,25,1.5
54,0.0,0.605,0.395,1595.9907641934797,32.48991040681939,25,1.5
55,0.0,0.615,0.385,1570.3029371258526,31.574093723137526,25,1.5
56,0.0,0.62,0.38,1561.5756982636449,31.260171630187752,25,1.5
57,0.0,0.645,0.355,1479.122050438878,28.240653217693698,25,1.5
58,0.0,0.605,0.395,1584.7963311097026,32.09336218720124,25,1.5
59,0.0,0.63,0.37,1537.5167135404558,30.391041753728544,25,1.5
60,0.0,0.595,0.405,1590.6075987770912,32.296459490606324,25,1.5
61,0.0,0.615,0.385,1560.0883509299995,31.20891226986756,25,1.5
62,0.0,0.63,0.37,1530.5503889639328,30.135868904942157,25,1.5
63,0.0,0.655,0.345,1480.4305687454173,28.284102216274796,25,1.5
64,0.0,0.615,0.385,1602.8406493828825,32.730304062735414,25,1.5
65,0.0,0.64,0.36,1558.0951821774916,31.13470451572034,25,1.5
66,0.0,0.645,0.355,1556.9776462549369,31.09441260675905,25,1.5
67,0.0,0.66,0.34,1508.013992025233,29.308777164255464,25,1.5
68,0.0,0.635,0.365,1550.8237755044536,30.867740450488153,25,1.5
69,0.0,0.655,0.345,1516.0601889624252,29.60161664407037,25,1.5
70,0.0,0.63,0.37,1564.829464202377,31.36965812117601,25,1.5
71,0.0,0.64,0.36,1532.7386167577963,30.20906156598616,25,1.5
72,0.0,0.61,0.39,1592.8420098564259,32.36794938209765,25,1.5
73,0.0,0.625,0.375,1575.6002743941233,31.75520867396297,25,1.5
74,0.0,0.635,0.365,1551.5423759255282,30.892986819871496,25,1.5
75,0.0,0.655,0.345,1501.6789958924976,29.07127851157636,25,1.5
76,0.0,0.615,0.385,1570.0341266720936,31.558070109328415,25,1.5
77,0.0,0.595,0.405,1597.8784893271973,32.5475738899059,25,1.5
78,0.0,0.605,0.395,1579.4075165420052,31.89423198790041,25,1.5
79,0.0,0.625,0.375,1557.595730399968,31.11494711743799,25,1.5
80,0.0,0.64,0.36,1513.6666417938127,29.514247372783966,25,1.5
81,0.0,0.65,0.35,1499.946989701989,29.008969248899277,25,1.5
82,0.0,0.615,0.385,1597.3216196602757,32.535306490388294,25,1.5
83,0.0,0.635,0.365,1549.6000025763867,30.831647976434514,25,1.5
84,0.0,0.62,0.38,1603.0757363011335,32.73990855921954,25,1.5
85,0.0,0.63,0.37,1586.5693911577619,32.1565671692846,25,1.5
86,0.0,0.655,0.345,1520.1836687941577,29.760699641331453,25,1.5
87,0.0,0.63,0.37,1571.8695017966113,31.63322853221929,25,1.5
88,0.0,0.65,0.35,1507.8326262072512,29.308075650132317,25,1.5
89,0.0,0.63,0.37,1566.2765087082653,31.441844933289353,25,1.5
90,0.0,0.645,0.355,1516.0089548101018,29.616262894015307,25,1.5
91,0.0,0.66,0.34,1485.012407189798,28.469354057256943,25,1.5
92,0.0,0.63,0.37,1559.8539399537276,31.20972019169523,25,1.5
93,0.0,0.655,0.345,1474.819869611668,28.08690014022922,25,1.5
94,0.0,0.62,0.38,1536.4271732587035,30.36820554597901,25,1.5
95,0.0,0.635,0.365,1508.198325818767,29.33585778306326,25,1.5
96,0.0,0.61,0.39,1590.9278753766787,32.33182623726161,25,1.5
97,0.0,0.635,0.365,1535.9506578298292,30.356312774585625,25,1.5
